address,type,size,newcap,origurl,lat,long
"2231 Cedar Street Berkeley CA","Multifamily",5280,5.00,"https://www.loopnet.com/Listing/16502622/2231-Cedar-Street-Berkeley-CA/",37.878995,-122.26599
"2252 Parker Street Berkeley CA","Multifamily",6600,4.50,"https://www.loopnet.com/Listing/14287779/2252-Parker-Street-Berkeley-CA/",37.862449,-122.26286
"2283 Hearst Avenue Berkeley CA","Multifamily",10000,6.00,"https://www.loopnet.com/Listing/13966479/2283-Hearst-Avenue-Berkeley-CA/",37.874747,-122.26450
"2315 Hearst St Berkeley CA","Multifamily",1880,5.00,"https://www.loopnet.com/Listing/13844210/2315-Hearst-St-Berkeley-CA/",37.874858,-122.26318
"2321 Blake St Berkeley CA","Multifamily",6600,5.00,"https://www.loopnet.com/Listing/14291246/2321-Blake-St-Berkeley-CA/",37.864035,-122.26188
"2321 Blake Street Berkeley CA","Multifamily",6600,6.00,"https://www.loopnet.com/Listing/14467529/2321-Blake-Street-Berkeley-CA/",37.864035,-122.26188
"2336 Channing Way Berkeley CA","Multifamily",6600,5.00,"https://www.loopnet.com/Listing/14687206/2336-Channing-Way-Berkeley-CA/",37.866285,-122.26157
"2401 Warring St Berkeley CA","Multifamily",3520,3.50,"https://www.loopnet.com/Listing/17826518/2401-Warring-St-Berkeley-CA/",37.867810,-122.25058
"2414 Dana Berkeley CA","Multifamily",3960,5.00,"https://www.loopnet.com/Listing/18079206/2414-Dana-Berkeley-CA/",37.865952,-122.26122
"2414 Dana St Berkeley CA","Multifamily",3960,3.50,"https://www.loopnet.com/Listing/14608744/2414-Dana-St-Berkeley-CA/",37.865952,-122.26122
"2414 Dana Street Berkeley CA","Multifamily",3380,5.00,"https://www.loopnet.com/Listing/14373252/2414-Dana-Street-Berkeley-CA/",37.865952,-122.26122
"2415 Fulton Street Berkeley CA","Multifamily",1741,6.00,"https://www.loopnet.com/Listing/13960099/2415-Fulton-Street-Berkeley-CA/",37.865471,-122.26518
"2418 Atherton Street Berkeley CA","Multifamily",4400,7.00,"https://www.loopnet.com/Listing/14328283/2418-Atherton-Street-Berkeley-CA/",37.865534,-122.26466
"2435 Hilgard Avenue Berkeley CA","Multifamily",7480,5.50,"https://www.loopnet.com/Listing/14201273/2435-Hilgard-Avenue-Berkeley-CA/",37.878723,-122.26214
"2437 Dwight Way Berkeley CA","Multifamily",6600,5.00,"https://www.loopnet.com/Listing/19064611/2437-Dwight-Way-Berkeley-CA/",37.865320,-122.25903
"2442 Haste St Berkeley CA","Multifamily",6600,7.00,"https://www.loopnet.com/Listing/17532732/2442-Haste-St-Berkeley-CA/",37.865683,-122.25910
"2510 Bancroft Way Berkeley CA","Multifamily",0,6.50,"https://www.loopnet.com/Listing/16215424/2510-Bancroft-Way-Berkeley-CA/",37.868539,-122.25887
"2511 Hearst Ave Berkeley CA","Multifamily",7040,5.50,"https://www.loopnet.com/Listing/17718673/2511-Hearst-Ave-Berkeley-CA/",37.875428,-122.25958
"2511 Hearst Avenue Berkeley CA","Multifamily",15993,6.00,"https://www.loopnet.com/Listing/14144626/2511-Hearst-Avenue-Berkeley-CA/",37.875428,-122.25958
"2517 Regent St Berkeley CA","Multifamily",8360,4.50,"https://www.loopnet.com/Listing/19493600/2517-Regent-St-Berkeley-CA/",37.864575,-122.25736
"2517 Regent Street Berkeley CA","Multifamily",8360,4.00,"https://www.loopnet.com/Listing/17172166/2517-Regent-Street-Berkeley-CA/",37.864575,-122.25736
"2518 Etna Berkeley CA","Multifamily",5280,4.50,"https://www.loopnet.com/Listing/14070105/2518-Etna-Berkeley-CA/",37.864875,-122.25301
"2519 Milvia Street Berkeley CA","Multifamily",1700,5.00,"https://www.loopnet.com/Listing/18175640/2519-Milvia-Street-Berkeley-CA/",37.863060,-122.26945
"2521 Piedmont Avenue Berkeley CA","Multifamily",9280,5.00,"https://www.loopnet.com/Listing/14049017/2521-Piedmont-Avenue-Berkeley-CA/",37.865073,-122.25120
"2525 Benvenue Ave Berkeley CA","Multifamily",7920,5.50,"https://www.loopnet.com/Listing/15590907/2525-Benvenue-Ave-Berkeley-CA/",37.864645,-122.25474
"2525 Le Conte Ave Berkeley CA","Multifamily",8800,6.00,"https://www.loopnet.com/Listing/16132498/2525-Le-Conte-Ave-Berkeley-CA/",37.877130,-122.26023
"2526 Ellsworth St Berkeley CA","Multifamily",4400,4.50,"https://www.loopnet.com/Listing/16234003/2526-Ellsworth-St-Berkeley-CA/",37.863809,-122.26303
"2530 Regent St Berkeley CA","Multifamily",4840,4.00,"https://www.loopnet.com/Listing/14047248/2530-Regent-St-Berkeley-CA/",37.864041,-122.25796
"2531 Martin Luther King Jr Way Berkeley CA","Multifamily",5280,4.00,"https://www.loopnet.com/Listing/16108743/2531-Martin-Luther-King-Jr-Way-Berkeley-CA/",37.862191,-122.27159
"2532 Regent Street Berkeley CA","Multifamily",3520,5.00,"https://www.loopnet.com/Listing/13978882/2532-Regent-Street-Berkeley-CA/",37.863929,-122.25795
"2535 Regent St Berkeley CA","Multifamily",8108,5.00,"https://www.loopnet.com/Listing/14141781/2535-Regent-St-Berkeley-CA/",37.864002,-122.25731
"2537 Fulton Street Berkeley CA","Multifamily",5720,5.50,"https://www.loopnet.com/Listing/18223969/2537-Fulton-Street-Berkeley-CA/",37.862887,-122.26463
"2559 Cedar Street Berkeley CA","Multifamily",5280,6.00,"https://www.loopnet.com/Listing/19742670/2559-Cedar-Street-Berkeley-CA/",37.879868,-122.25976
"2559 Le Conte Ave Berkeley CA","Multifamily",12760,4.00,"https://www.loopnet.com/Listing/15216194/2559-Le-Conte-Ave-Berkeley-CA/",37.877271,-122.25942
"2607 Ellsworth Street Berkeley CA","Multifamily",6600,4.00,"https://www.loopnet.com/Listing/19570060/2607-Ellsworth-Street-Berkeley-CA/",37.862417,-122.26223
"2610 Etna St Berkeley CA","Multifamily",6600,5.00,"https://www.loopnet.com/Listing/16464160/2610-Etna-St-Berkeley-CA/",37.863519,-122.25287
"2620 Regent Berkeley CA","Multifamily",7040,6.50,"https://www.loopnet.com/Listing/18109131/2620-Regent-Berkeley-CA/",37.862643,-122.25793
"2639 College Ave Berkeley CA","Multifamily",5280,4.50,"https://www.loopnet.com/Listing/18126647/2639-College-Ave-Berkeley-CA/",37.862596,-122.25325
"2669 Le Conte Berkeley CA","Multifamily",6160,7.50,"https://www.loopnet.com/Listing/16625325/2669-Le-Conte-Berkeley-CA/",37.877600,-122.25762
"2727 Haste Street Berkeley CA","Multifamily",7480,6.00,"https://www.loopnet.com/Listing/14544638/2727-Haste-Street-Berkeley-CA/",37.866976,-122.25278
"2747 Haste Street Berkeley CA","Multifamily",11440,3.00,"https://www.loopnet.com/Listing/18351096/2747-Haste-Street-Berkeley-CA/",37.866963,-122.25215
"2811 Channing Way Berkeley CA","Multifamily",6600,6.00,"https://www.loopnet.com/Listing/13966904/2811-Channing-Way-Berkeley-CA/",37.868174,-122.25123
"2901 Channing Way Berkeley CA","Multifamily",2732,6.00,"https://www.loopnet.com/Listing/13960093/2901-Channing-Way-Berkeley-CA/",37.868140,-122.25041
"50 Panoramic Way Berkeley CA","Multifamily",11440,4.00,"https://www.loopnet.com/Listing/16333396/50-Panoramic-Way-Berkeley-CA/",37.867817,-122.24833
"Dwight Way Berkeley CA","Multifamily",20193,5.50,"https://www.loopnet.com/Listing/14521414/Dwight-Way-Berkeley-CA/",37.863203,-122.27217
